"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L1583","AbortException","hudson.AbortException","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\AbortException.java","35","1","48","2","0","0","0","0","0","0","0","0","0","0","0","2","0","22","18","0","2","0.666667","0.578947","11","11","2","1","0.578947","11","0","0","0","0","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","0","0","3","0","2","1","0","0","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4235","AboutJenkins","hudson.AboutJenkins","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\AboutJenkins.java","13","1","39","2","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","5","0.166667","0.185185","5","5","1","5","0.185185","5","3","4","0","0","1","22","27","1","9","0","5","5","0","5","0","10","5","1","10","0","22","27","1","9","0","5","5","0","5","0","10","5","1","10","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L4250","AbstractMarkupText","hudson.AbstractMarkupText","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\AbstractMarkupText.java","42","1","166","2","0","0","0","0","0","0","0","0","1","3","3","21","2","10","15","0","13","0.916667","0.561983","68","65","11","1","0.561983","68","0","0","2","2","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","0","0","5","0","5","0","0","0","0","4","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4332","BulkChange","hudson.BulkChange","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\BulkChange.java","85","1","173","2","0","0","0","0","0","0","0","0","1","2","2","12","1","19","26","1","7","0.833333","0.694656","91","87","5","1","0.684211","91","0","0","0","0","0","40","87","6","0","6","0","6","2","5","0","6","23","2","5","0","42","89","7","0","6","0","7","2","6","0","7","23","3","6","0","0","0","15","0","8","2","0","0","0","7","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"L4377","ClassicPluginStrategy","hudson.ClassicPluginStrategy","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\ClassicPluginStrategy.java","80","1","808","2","0","0","0","0","0","0","0","0","2","4","4","73","21","7","2","29","48","0","0.133017","56","23","0","9","0.159754","104","2","2","1","1","1","365","483","8","2","8","2","19","2","8","0","19","217","2","8","0","547","729","35","17","15","4","36","2","13","0","101","315","2","54","6","0","0","104","0","0","4","0","0","0","0","2","8","0","2","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0"
"L4836","CloseProofOutputStream","hudson.CloseProofOutputStream","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\CloseProofOutputStream.java","34","1","42","2","0","0","0","0","0","0","0","0","1","0","0","2","1","4","4","1","3","0.333333","0.333333","4","4","1","2","0.333333","4","1","1","0","0","1","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5856","DependencyRunner","hudson.DependencyRunner","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\DependencyRunner.java","45","1","100","2","0","0","0","0","0","0","0","0","1","3","3","8","6","1","1","7","10","0.333333","0.148936","7","3","1","2","0.14","7","0","0","0","0","0","40","53","3","0","3","0","3","0","2","0","3","22","0","2","0","43","56","3","0","3","0","4","0","3","0","4","22","0","3","0","0","0","14","0","10","0","0","5","0","5","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5007","DescriptorExtensionList<T extends Describable<T>, D extends Descriptor<T>>","hudson.DescriptorExtensionList","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\DescriptorExtensionList.java","67","1","249","2","0","0","0","0","0","0","0","0","7","3","3","27","11","58","17","15","33","0.75","0.412121","68","66","9","3","0.377778","68","1","1","1","1","1","97","167","11","5","3","2","18","0","11","0","48","40","3","28","0","112","183","15","5","3","2","22","0","13","0","65","44","3","39","0","0","0","40","0","12","0","0","1","0","11","1","0","0","1","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L6784","DNSMultiCast","hudson.DNSMultiCast","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\DNSMultiCast.java","22","1","90","2","0","0","0","0","0","0","0","0","1","1","1","4","2","2","2","0","2","0.333333","0.407407","11","5","1","2","0.21875","14","0","0","0","0","0","16","26","3","0","3","0","2","1","2","0","2","6","1","2","0","50","69","3","0","3","0","3","1","3","0","3","30","1","3","0","0","1","12","0","5","0","0","0","0","5","0","0","0","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0"
"L6819","EnvVars","hudson.EnvVars","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-1.625\core\src\main\java\hudson\EnvVars.java","74","1","439","2","0","0","0","0","0","0","0","0","3","2","2","34","6","75","64","4","20","0.75","0.512195","105","96","12","4","0.405172","141","0","0","0","0","0","100","208","3","1","3","1","16","1","15","0","16","58","1","15","0","207","366","18","4","12","3","27","2","23","0","33","114","3","26","0","0","3","47","1","20","3","0","0","0","20","1","0","0","0","0","0","35","0","0","4","0","0","0","0","0","0","0","0","0","0","11","0"
