"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L17557","serialVersionUID","hudson.AbortException.serialVersionUID;J","L2242","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\AbortException.java","47","5","47","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17645","saveable","hudson.BulkChange.saveable;Lhudson/model/Saveable;","L17643","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\BulkChange.java","72","5","72","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17646","allocator","hudson.BulkChange.allocator;Ljava/lang/Exception;","L17643","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\BulkChange.java","73","5","73","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17647","parent","hudson.BulkChange.parent;Lhudson/BulkChange;","L17643","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\BulkChange.java","74","5","74","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17650","completed","hudson.BulkChange.completed;Z","L17643","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\BulkChange.java","76","5","76","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17658","INSCOPE","hudson.BulkChange.INSCOPE;Ljava/lang/ThreadLocal;","L17643","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\BulkChange.java","135","5","135","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17678","ALL","hudson.BulkChange.ALL;Lhudson/model/Saveable;","L17643","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\BulkChange.java","163","5","166","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17688","JAR_FILTER","hudson.ClassicPluginStrategy.JAR_FILTER;Ljava/io/FilenameFilter;","L17684","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","96","5","100","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17698","pluginManager","hudson.ClassicPluginStrategy.pluginManager;Lhudson/PluginManager;","L17684","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","102","5","102","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17699","coreClassLoader","hudson.ClassicPluginStrategy.coreClassLoader;Lhudson/util/MaskingClassLoader;","L17684","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","107","5","107","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17808","DETACHED_LIST","hudson.ClassicPluginStrategy.DETACHED_LIST;Ljava/util/List;","L17684","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","431","5","431","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17799","BREAK_CYCLES","hudson.ClassicPluginStrategy.BREAK_CYCLES;Ljava/util/Set;","L17684","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","434","5","434","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18085","useAntClassLoader","hudson.ClassicPluginStrategy.useAntClassLoader;Z","L17684","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","862","5","862","135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17756","LOGGER","hudson.ClassicPluginStrategy.LOGGER;Ljava/util/logging/Logger;","L17684","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","863","5","863","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18079","DISABLE_TRANSFORMER","hudson.ClassicPluginStrategy.DISABLE_TRANSFORMER;Z","L17684","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","864","5","864","141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18988","LOGGER","hudson.DependencyRunner.LOGGER;Ljava/util/logging/Logger;","L18986","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\DependencyRunner.java","46","5","46","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18991","runnable","hudson.DependencyRunner.runnable;Lhudson/DependencyRunner$ProjectRunnable;","L18986","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\DependencyRunner.java","48","5","48","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18995","polledProjects","hudson.DependencyRunner.polledProjects;Ljava/util/List;","L18986","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\DependencyRunner.java","50","5","50","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
